id	filename	md5	size	state
c8416976-277e-44f0-9440-9f59558102f4	e0e050cc-5e2a-41fc-8394-b4816a9dc8a2.rna_seq.genomic.gdc_realn.bam	73b32065f3d77ae367bda59d38f11c42	6829416182	released
a26a83d5-2e3a-4e7f-8dd8-c0e49c8160a9	4fa35f20-e26e-4bb0-811d-b307e3927904.rna_seq.genomic.gdc_realn.bam	d17ec55c5920c44ba0942831317b740c	6250766326	released
44fa6435-b963-4989-a093-0fb0cb099d08	195d8bd4-352c-4407-9319-797d915c72b8.rna_seq.genomic.gdc_realn.bam	72f98c53a66ca29ff51c373c1caed5ce	7561502132	released
a37ab6de-aed4-4476-80c6-4f6267edb36c	dbb3747a-aafe-421c-bb21-84a0b82c6a75.rna_seq.genomic.gdc_realn.bam	12c44efbb21c3377dd852bc92626678f	5847439392	released
f518d8ce-11f4-4666-9829-be151d04257c	80de2366-cd3c-4b51-9957-06ac3e152cf0.rna_seq.genomic.gdc_realn.bam	f01dbe8057112337e1c5de693dcd7bb7	4684406451	released
1e420881-c3d8-456b-af47-9a583052963b	3ccab1b1-39f2-4947-bbac-1c25750f0464.rna_seq.genomic.gdc_realn.bam	527c77b2d70128d505c4db74a39f609d	6979332365	released
f59db333-dac9-4223-b38b-45152f770342	840ce2d8-5bf8-4a2c-9739-e7dff5d7cb21.rna_seq.genomic.gdc_realn.bam	c38360187f9f8e060a640ec00de4c163	5945850570	released
8d9a907b-df39-4cf5-bf6a-2336b4e3edf2	f2ab4258-222d-4a08-a805-3628048ebf1c.rna_seq.genomic.gdc_realn.bam	3fa6577d7714981344c890dccf3b3eda	6998854082	released
0cc9565e-285f-4050-8baf-bd262e6763e0	ae8996bd-b0b7-4f9b-91fa-606f95d49f8c.rna_seq.genomic.gdc_realn.bam	e8b0fea10e6f7cb3ac534953089ae046	6368944091	released
594a62a3-7c0f-4f47-b12e-9632f2a8d9f0	3ffa2cdf-4a54-4362-a6cf-b0567ef69551.rna_seq.genomic.gdc_realn.bam	ffd33ca91b813c37838bb3c2af22563b	7895223109	released
a21d1543-0a25-4ff8-ad0b-f1e84604c9e0	f7efa9c4-e7e2-406a-98e5-596f787c810e.rna_seq.genomic.gdc_realn.bam	e932ed581e8af11c42a763d141187823	8381875449	released
8b2ebe69-779a-4e01-8d8a-3fe9ee8d9844	32c15b29-da14-4eb5-8c86-39efc94319df.rna_seq.genomic.gdc_realn.bam	995e1959a796af4d3a926fcfec6af9b2	9673068940	released
de1517ff-0722-4109-ad44-de79ce876a91	95e450bd-ff88-4498-9418-e09883c94988.rna_seq.genomic.gdc_realn.bam	8aa2ce81ff63f6265526114b3f5d33e0	9904708689	released
b9e82934-95a5-45ac-9bf6-cdb79bad2723	034f8d01-f664-494b-bc04-77485000611f.rna_seq.genomic.gdc_realn.bam	6fdd4310bc4ba7f188dde9e4d9f77926	7306333598	released
41aaadf6-20e3-4c51-869f-9a28434069e3	e869b178-9abe-44ca-ae6b-a6caae1834fb.rna_seq.genomic.gdc_realn.bam	c893f9d9171294175d08972c721c07a5	9629768428	released
72e4b568-c3e7-4b6f-982e-627449637a37	94367ad2-de29-4beb-8dab-f79174894cd2.rna_seq.genomic.gdc_realn.bam	ace34a867d7a6bba7334684c9638f604	5712603583	released
1a87548c-0e37-4f22-9dab-8c39ea07b8c5	081b4937-85e7-44b3-9124-a612f4f2e0ca.rna_seq.genomic.gdc_realn.bam	7cc9030a80475a7da5be2246ec14064f	8075483404	released
8d5fa40d-a21d-4ae7-928e-6855c2edbfff	676cce88-9f6e-4490-8e73-c0e88bd00075.rna_seq.genomic.gdc_realn.bam	ff7317021e78b53bcd0c708e198865bc	7921739105	released
2d9f541d-14a4-4988-a53b-229d5b97ca14	9cb6482e-6f20-4aad-986c-7ccea66b7cc8.rna_seq.genomic.gdc_realn.bam	096186a2d4c82369158d665eee5bb990	8398419070	released
87bb789e-ca4e-430c-b5f1-7395a2a4d554	2dc9eaca-6dfc-4e7f-a12b-1495986e1ad4.rna_seq.genomic.gdc_realn.bam	16c26617cb7b081f5b6ee987fd984db2	5742176849	released
010e93e3-271a-43f4-9fec-337f5c749c87	74179e5e-2d3c-417e-8844-6740ea9fb2e5.rna_seq.genomic.gdc_realn.bam	1ec983404b5e01ae95a6b769b7e9836b	8715177777	released
eef46261-4333-45d7-8460-25797ee3ca20	8997a81b-4046-4c31-91f6-7c1519f1d2ec.rna_seq.genomic.gdc_realn.bam	b645ace03e6c0f59287129fc401730ec	5111616207	released
76e50095-cc24-4fcd-bf67-cd3f1cdaaacc	71c9a6fc-0538-4533-af51-f7c9defe7770.rna_seq.genomic.gdc_realn.bam	28bea614ad8dd74036741463b9ecfbcf	5921862205	released
9bffcd1e-a8eb-48ca-b2eb-ad42e5605ca5	42b32308-71f1-4f21-935f-7e4e5751e332.rna_seq.genomic.gdc_realn.bam	11e8a821c7bd3bea482b21eca691e90a	8187023477	released
69698228-279c-43a4-b96b-1e636d86b08f	f9a27067-7485-4c9f-986b-878aa6cd132c.rna_seq.genomic.gdc_realn.bam	0c5e5e6d275dfe71d5d79b78a9b9b457	7841876794	released
43217c30-1f7b-480e-a8e9-a1943fd5f008	ffe82e73-0990-4d3d-a4d1-7d4e169dfdf5.rna_seq.genomic.gdc_realn.bam	854fdf3ba5e6d1aaa458cf3237391da4	6012162662	released
61f2d405-8a7d-4b24-af0e-390dfedb3e08	c33e4a5e-f54e-48e0-bcbf-4e019e63a352.rna_seq.genomic.gdc_realn.bam	377f467ebda50c7020a24ba06fefe3e3	5260826870	released
